"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:PRISON_GUARD_PAYOUT","Detain more people and we will both benefit.","扣押更多的人，这样我们两个都能捞到好处。"
"traveler:PRISON_GUARD_PAYOUT","Good morning.","早上好。"
"traveler:PRISON_GUARD_PAYOUT","You are not detaining enough people.","你扣押的人不够。"
"traveler:PRISON_GUARD_PAYOUT","I have nothing to give you.","我没钱给你。"
"traveler:PRISON_GUARD_PAYOUT","Detain more to share part of my bonus.","扣押更多的人来分一杯羹。"
"traveler:PRISON_GUARD_PAYOUT","Bonus is good, they pay ok.","奖金还不错，他们给的不少。"
"traveler:PRISON_GUARD_PAYOUT","It is not much though.","虽然也不太多。"
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people and we do better.","可能你扣押更多的人我们会赚得更多。"
"traveler:PRISON_GUARD_PAYOUT","@This is not enough.","@这不够啊。"
"traveler:PRISON_GUARD_PAYOUT","Yes, I know.","是的，我知道。"
"traveler:PRISON_GUARD_PAYOUT","My wife sick now. Neighbor spreads the flu.","我老婆病了，从邻居家传染了流感。"
"traveler:PRISON_GUARD_PAYOUT","This is what is left after medicine.","这是买完药之后剩下的。"
"traveler:PRISON_GUARD_PAYOUT","I give you rest next time.","我会把剩下的下次一起给你。"
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people to make it easier.","如果你扣押更多的人，这事儿会更简单一点。"
"traveler:PRISON_GUARD_PAYOUT","Here is your cut.","你自己做决定吧。"
"traveler:PRISON_GUARD_PAYOUT","@There is more from last time.","@上次你给的比这个多。"
"traveler:PRISON_GUARD_PAYOUT","This is all I have now but soon I make up rest.","我这儿现在就这些，不过我很快会补上剩下的。"
"traveler:PRISON_GUARD_PAYOUT","Again it is a little short.","这次又少了一点儿。"
"traveler:PRISON_GUARD_PAYOUT","Keep detaining and I pay you back soon.","继续扣押更多的人我很快会还给你。"
"traveler:PRISON_GUARD_BOMB","What is going on?","出什么事了？"
"traveler:PRISON_GUARD_BOMB","Oh. Hah.","我靠。"
"traveler:PRISON_GUARD_BOMB","What is this amateur shit?","这个外行弄的什么玩意儿？"
"traveler:PRISON_GUARD_BOMB","@Should we evacuate?","@我们要撤离吗？"
"traveler:PRISON_GUARD_BOMB","For that little thing? No of course not.","就因为这么个小玩意儿？不用，当然不用。"
"traveler:PRISON_GUARD_BOMB","Just disable it. Open the cover.","只要把它关闭就行了。打开盖子。"
"traveler:PRISON_GUARD_BOMB","Stupid fucking terrorist.","傻逼恐怖分子。"
"traveler:PRISON_GUARD_BOMB","Could not even add a display.","都不装个显示装置。"
"traveler:PRISON_GUARD_BOMB","@What should I do now?","@我现在该干嘛?"
"traveler:PRISON_GUARD_BOMB","This is poorest bomb I ever see. A simple mind created this.","这是我见过的最寒酸的炸弹。做这个的人一定是个单细胞生物。"
"traveler:PRISON_GUARD_BOMB","Just cut the wires in order.","只要按照顺序剪短电线就行。"
"traveler:PRISON_GUARD_BOMB","Ok, all done. Back to work.","好了，解决了。回去工作吧。"
"traveler:PRISON_GUARD_BOMB","@We should close the checkpoint.","@我们应该关闭边检站。"
"traveler:PRISON_GUARD_BOMB","Bullshit. I need to earn money today.","放屁。我今天还得挣钱呢。"
"traveler:PRISON_GUARD_BOMB","Give bomb to me.","把炸弹给我。"
"traveler:PRISON_GUARD_BOMB","I sell materials and give you cut.","我把零件卖了会分给你点钱。"
"traveler:PRISON_GUARD_BOMB","What a piece of shit.","真他妈是堆废物。"
"traveler:PRISON_GUARD_BOMB","I doubt it is even worth much.","我怀疑这些玩意儿值不了几个子儿。"
"traveler:PRISON_GUARD_BOMB","Call the next immigrant.","叫下一个入境者进来吧。"
"traveler:TIME_BOMBER","DEATH TO ARSTOTZKA!","去死吧阿斯托茨卡！"
"traveler:BOSS_REPORTCITATIONS","You have received no citations.","你一次传讯都没有收到。"
"traveler:BOSS_REPORTCITATIONS","You have received one citation.","你收到一次传讯。"
"traveler:BOSS_REPORTCITATIONS","You have received ${Game/NumCitations} citations.","你收到${Game/NumCitations}次传讯。"
"traveler:BOSS0","So.~","那么。~"
"traveler:BOSS0","You are inspector here.~","你就是这里的监察官。~"
"traveler:BOSS0","That makes you my responsibility.~","所以你就是我的下属。~"
"traveler:BOSS0","You make Arstotzka proud.~","你让阿斯托茨卡感到骄傲。~"
"traveler:BOSS0","Hang it on wall here.","把这个挂在墙上。"
"traveler:BOSS0","I return in 10 days.~","我十天之后会回来。~"
"traveler:BOSS0","Maintain your diligence.","继续努力工作吧。"
"traveler:BOSS0","Glory to Arstotzka.","阿斯托茨卡万岁。"
"traveler:BOSS0","Perhaps it was mistake to rely on lottery.","也许依靠工作抽签是个错误。"
"traveler:BOSS0","Let this motivate you.~","让这个激励你。~"
"traveler:BOSS0","Do not embarrass me.","不要让我难堪。"
"traveler:BOSS0","It makes me look like fool to trust lottery.~","这让相信工作抽签的我看上去像个傻瓜。~"
"traveler:BOSS0","Let this motivate you to improve.~","让这个激励你好好进步。~"
"traveler:BOSS0","Do not embarrass me further.","不要在让我难堪。"
"traveler:BOSS1","It is too early to come all the way out here.","一大早还走了这么远的路来到这儿。"
"traveler:BOSS1","The smell at this checkpoint makes me sick.","这个边检站的味道闻起来让我觉得恶心。"
"traveler:BOSS1","Where is plaque I gave you?","我给你的奖状呢？"
"traveler:BOSS1","Why is it not on wall?","为什么没有挂在墙上？"
"traveler:BOSS1","What is other shit hanging here?","那些挂在墙上的垃圾玩意儿是什么？"
"traveler:BOSS1","These walls are for official plaques only.","这些墙上只准悬挂官方授予的奖状。"
"traveler:BOSS1","Your pay will be docked for violation.","你因为违反了规定将被罚款。"
"traveler:BOSS1","@It will not happen again.","@我保证不会再犯了。"
"traveler:BOSS1","At least you are performing well.","不过至少你的表现还不错。"
"traveler:BOSS1","Continue this honorable service.","继续履行这项光荣的职责吧。"
"traveler:BOSS1","At least your performance is not terrible.","不过至少你的表现还行。"
"traveler:BOSS1","Do not slip further.","别在继续犯错了。"
"traveler:BOSS1","And your performance is terrible.","而且你的表现也很糟糕。"
"traveler:BOSS1","Maybe you have forgotten what your job is.","也许你忘了自己的职责是什么。"
"traveler:BOSS1","There are many more who can take your place.","还有很多人能胜任你这个位子。"
"traveler:BOSS1","Now.","现在。"
"traveler:BOSS1","I have old friend coming through.","我有一个老朋友要入境。"
"traveler:BOSS1","Approve her entry.","一定要让她通过。"
"traveler:BOSS1","She is Shae Piersovska.~","她叫Shae Piersovska。~"
"traveler:BOSS1","I do not want to hear of any trouble to her.","我可不想听她给我抱怨出了什么问题。"
"traveler:BOSS1","Glory to Arstotzka.","阿斯托茨卡万岁。"
"traveler:BOSS2","You little bastard.~","你这个小杂种。~"
"traveler:BOSS2","Shae thinks I am powerless fool now.","Shae现在以为我是个没有权利的傻瓜。"
"traveler:BOSS2","It was made very clear to let her through.","我交待得很清楚要让她通过。"
"traveler:BOSS2","Now I must think about the consequences for you.~","现在我必须要好好想想你需要面临什么样的后果。~"
"traveler:BOSS2","Maybe this place not so bad.","也许这个地方也没那么差。"
"traveler:BOSS2","With everything going on, checkpoint visit is nice break.~","在那么繁忙的公务中抽出时间来一趟边检站也是个不错的休息。"
"traveler:BOSS2","You still do not hang the plaques.","你还没把那些奖状挂起来。"
"traveler:BOSS2","Why do you not hang both plaques?","为什么不把那两面奖状挂上？"
"traveler:BOSS2","But again you have unauthorized items on wall.","而且你还继续挂着那些未经许可的东西。"
"traveler:BOSS2","I warned before.~","我可警告过你。~"
"traveler:BOSS2","But what is other shit hanging here?","而且这些玩意儿是什么？"
"traveler:BOSS2","These walls are for official plaques only.","这些墙上只准悬挂官方授予的奖状。"
"traveler:BOSS2","Your pay will be docked for violation.","你因为违反了规定将被罚款。"
"traveler:BOSS2","@It will not happen again.","@我保证不会再犯了。"
"traveler:BOSS2","There are no more plaques.","再也没有奖状了。"
"traveler:BOSS_BUDDY","How is Dimitri?","Dimitri怎么样？"
"traveler:BOSS_BUDDY","I hear he runs checkpoint now.","我听说他现在负责边检站。"
"traveler:BOSS_BUDDY","It looks like somewhere he would fit in.","看起来像是他应该呆的地方。"
"traveler:BOSS_BUDDY","I bet he is still terrible boss.","我敢打赌他还是那样的暴脾气。"
"traveler:BOSS_BUDDY","You know, Dimitri asked me to come.","你知道吗，Dimitri让我过来。"
"traveler:BOSS_BUDDY","Said I would get through.","他说我会被允许入境的。"
"traveler:BOSS_BUDDY","But I guess he is not so much in control.","但我不认为他有那么大的权力。"
"traveler:BOSS_BUDDY","I hope Dimitri tires more easily now.","我希望Dimitri现在很快就会厌倦了。"
"traveler:BOSS_BUDDY","I do not want to stay long in Arstotzka.","我不想在阿斯托茨卡呆太久。"
"traveler:BOSS_BUDDY","Ah, I would not do that.","啊，我不会那么做。"
"traveler:BOSS_BUDDY","Dimitri is not forgiving person.","Dimitri不是个善于原谅别人的人。"
"traveler:BOSS_BUDDY","I am no fool.","我并不傻。"
"traveler:BOSS_BUDDY","This is inconvenience, but I am not worried for myself.","这不太方便，不过我并不担心自己。"
"traveler:BOSS_BUDDY","Tell Dimitri I said hello.","给Dimitri转达我的问候。"
"traveler:BOSS_ANGRY","You worthless urchin.~","你这个没用的废物。~"
"traveler:BOSS_ANGRY","I had to pull many strings to get Shae out.","我得打点好很多人能把Shae弄出来。"
"traveler:BOSS_ANGRY","It was made very clear to let her through.~","我交待得很清楚要让她通过。~"
"traveler:BOSS_ANGRY","My patience with you has run out.~","我对你已经没有耐心了。~"
"traveler:KID_KILLER0","Look at it.~","看看这个。~"
"traveler:KID_KILLER0","Simon Wens took her from me.~","是西蒙•温斯把她从我身边夺走的~"
"traveler:KID_KILLER0","I follow him for many weeks.","我跟踪了他几个星期了。"
"traveler:KID_KILLER0","I know he comes here soon.~","我知道他很快会来这儿。~"
"traveler:KID_KILLER0","It is big favor I ask, but is important.","我想让你帮个大忙，但这对我非常重要。"
"traveler:KID_KILLER0","Let him through if you see him.","如果你见到他，请让他入境。"
"traveler:KID_KILLER0","But take his passport first.~","但先没收掉他的护照。~"
"traveler:KID_KILLER0","I come back.","我会回来。"
"traveler:KID_KILLER0","You give me his passport and I track him down.~","你到时候把他的护照给我，我会找到他~。"
"traveler:KID_KILLER0","I make him suffer like he did to Julia.~","我会像他对待Julia那样折磨他。~"
"traveler:KID_KILLER1","What the fuck!","我操！"
"traveler:KID_KILLER2","Did you see him?","你见到他了吗？"
"traveler:KID_KILLER2","Give his passport to me.","把他的护照给我。"
"traveler:KID_KILLER2","Hmmm.~","嗯 ~"
"traveler:KID_KILLER2","I know this city.","我知道这个城市。"
"traveler:KID_KILLER2","He will be easily found.","能很轻易的找到他。"
"traveler:KID_KILLER2","Let me through.","让我入境。"
"traveler:KID_KILLER2","Thank you.","谢谢你。"
"traveler:KID_KILLER2","Now please, give back my daughter's photo.","现在，请把我女儿的照片还给我。"
"traveler:KID_KILLER2","I show it to him while he suffers.","我会在折磨他的时候把照片给他看。"
"traveler:KID_KILLER2","You heartless scum.","你这个冷血的人渣。"
"traveler:KID_KILLER2","Give back my daughter's photo.","把我女儿的照片还给我。"
"traveler:KID_KILLER2","My Julia.~","我的Julia。~"
"traveler:KID_KILLER2","Read the news tomorrow.","明天看新闻。"
"traveler:KID_KILLER2","She was just little girl.","她只是个小女孩儿。"
"traveler:KID_KILLER2","@I do not know what you are talking about.","@我不知道你在说什么。"
"traveler:KID_KILLER2","Damnit.","妈的。"
"traveler:KID_KILLER2","She was just a little girl.","她只是个小女孩儿。"
"traveler:KID_KILLER2","@Yes. He has been arrested.","@是的，他已经被逮捕了。"
"traveler:KID_KILLER2","What? I asked you to let him pass.","什么？我叫你放他入境啊。"
"traveler:KID_KILLER2","There will be no true justice now.","这下就没法执行真正的正义了。"
"traveler:KID_KILLER2","@Yes. He ran off.","@是的，他逃跑了。"
"traveler:KID_KILLER2","Ran off? Which way?","逃跑？往那条路跑了？"
"traveler:KID_KILLER2","@I do not know. Back into Kolechia.","@我不知道，回科勒齐亚去了。"
"traveler:KID_KILLER2","Damn it.","妈的。"
"traveler:KID_KILLER2","@I have no photos.","@我没有照片。"
"traveler:KID_KILLER2","Heartless bastard.","冷血的混蛋。"
"traveler:RESISTER","No.","不。"
"traveler:RESISTER","I am not leaving.","我不走。"
"traveler:RESISTER","@You are delaying the line.","@你挡在这里后面的人都没法进来了。"
"traveler:RESISTER","I refuse!","我拒绝！"
"traveler:RESISTER","You fools better to not touch me.","你们这群傻瓜最好别碰我。"
"traveler:RESISTER","I will explode like wild tiger.","我发起飙来像发怒的老虎。"
"traveler:RESISTER","I have every right to enter Arstotzka.","我绝对有权进入阿斯托茨卡。"
"traveler:RESISTER","You think I am joking but tiger does not joke.","你觉得我在开玩笑么？老虎从来不开玩笑。"
"traveler:RESISTER","Let me through!","让我过去！"
"traveler:JOURNALIST_FIRST","I write report on conditions in Arstotzka.","我写关于阿斯托茨卡情况的新闻。"
"traveler:JOURNALIST_FIRST","As long as it takes.","等多久都行。"
"traveler:JOURNALIST_FIRST","@You are missing required papers.","@你缺少所需的文件。"
"traveler:JOURNALIST_FIRST","I am journalist.","我是个新闻记者。"
"traveler:JOURNALIST_FIRST","You have my pass there.","记者证都给你了。"
"traveler:JOURNALIST_FIRST","This is outrage!","太无耻了！"
"traveler:JOURNALIST_FIRST","Why am I denied?","为什么不准我入境？"
"traveler:JOURNALIST_FIRST","@Your press pass is worthless for entry.","@你的记者证对入境没有任何帮助。"
"traveler:JOURNALIST_FIRST","This is violation of rights.","这样做违反人权。"
